DR_NO;Date Rptd;AREA NAME;Crm Cd Desc
231310154;05/02/2023 12:00:00 AM;Newton     ;CHILD ANNOYING (17YRS & UNDER)                          
221310976;05/10/2022 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       
231305741;02/04/2023 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       
221315019;07/25/2022 12:00:00 AM;Newton     ;RAPE, FORCIBLE                                          
231322607;12/27/2023 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       
231310246;05/04/2023 12:00:00 AM;Newton     ;CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)
221313340;06/23/2022 12:00:00 AM;Newton     ;SEXUAL PENETRATION W/FOREIGN OBJECT                     
231312211;06/12/2023 12:00:00 AM;Newton     ;BATTERY - SIMPLE ASSAULT                                
221313686;06/29/2022 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       
221311547;05/20/2022 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       
221319508;10/18/2022 12:00:00 AM;Newton     ;RAPE, FORCIBLE                                          
221320881;11/14/2022 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       
231307653;03/13/2023 12:00:00 AM;Newton     ;INTIMATE PARTNER - SIMPLE ASSAULT                       
221321859;12/01/2022 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       
221321066;11/16/2022 12:00:00 AM;Newton     ;DOCUMENT FORGERY / STOLEN FELONY                        
201316203;08/30/2020 12:00:00 AM;Newton     ;VEHICLE - STOLEN                                        
221308116;03/17/2022 12:00:00 AM;Newton     ;INTIMATE PARTNER - AGGRAVATED ASSAULT                   
221304502;01/10/2022 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       
221304827;01/19/2022 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       
221316784;08/29/2022 12:00:00 AM;Newton     ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 
221316652;08/17/2022 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       
221323016;12/28/2022 12:00:00 AM;Newton     ;SEXUAL PENETRATION W/FOREIGN OBJECT                     
231310119;04/24/2023 12:00:00 AM;Newton     ;THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD
241304806;01/18/2024 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       
211306997;03/09/2021 12:00:00 AM;Newton     ;THEFT PLAIN - PETTY ($950 & UNDER)                      
201308239;03/16/2020 12:00:00 AM;Newton     ;VANDALISM - MISDEAMEANOR ($399 OR UNDER)                
201307829;03/09/2020 12:00:00 AM;Newton     ;VEHICLE - STOLEN                                        
201313153;06/30/2020 12:00:00 AM;Newton     ;ROBBERY                                                 
201309446;04/15/2020 12:00:00 AM;Newton     ;BURGLARY FROM VEHICLE, ATTEMPTED                        
201316012;08/25/2020 12:00:00 AM;Newton     ;BURGLARY                                                
201321853;12/29/2020 12:00:00 AM;Newton     ;VEHICLE - STOLEN                                        
201311118;05/20/2020 12:00:00 AM;Newton     ;BURGLARY FROM VEHICLE                                   
201318235;10/11/2020 12:00:00 AM;Newton     ;VEHICLE - STOLEN                                        
201317392;09/22/2020 12:00:00 AM;Newton     ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 
201313980;07/15/2020 12:00:00 AM;Newton     ;BATTERY - SIMPLE ASSAULT                                
201315254;08/09/2020 12:00:00 AM;Newton     ;INTIMATE PARTNER - SIMPLE ASSAULT                       
201311628;05/31/2020 12:00:00 AM;Newton     ;BURGLARY                                                
201311277;05/23/2020 12:00:00 AM;Newton     ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          
201319755;11/10/2020 12:00:00 AM;Newton     ;BURGLARY                                                
201300868;07/20/2020 12:00:00 AM;Newton     ;ROBBERY                                                 
201316890;09/13/2020 12:00:00 AM;Newton     ;VEHICLE - STOLEN                                        
201306108;02/06/2020 12:00:00 AM;Newton     ;BURGLARY FROM VEHICLE                                   
201307940;03/11/2020 12:00:00 AM;Newton     ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         
201307077;02/24/2020 12:00:00 AM;Newton     ;DISTURBING THE PEACE                                    
201315317;08/10/2020 12:00:00 AM;Newton     ;VANDALISM - MISDEAMEANOR ($399 OR UNDER)                
201320683;12/01/2020 12:00:00 AM;Newton     ;VEHICLE - STOLEN                                        
201320459;11/26/2020 12:00:00 AM;Newton     ;VEHICLE - STOLEN                                        
201312903;06/26/2020 12:00:00 AM;Newton     ;OTHER MISCELLANEOUS CRIME                               
201307804;03/09/2020 12:00:00 AM;Newton     ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          
201319327;11/01/2020 12:00:00 AM;Newton     ;VEHICLE - STOLEN                                        
201318104;10/08/2020 12:00:00 AM;Newton     ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          
201317341;09/21/2020 12:00:00 AM;Newton     ;INTIMATE PARTNER - AGGRAVATED ASSAULT                   
201305867;02/02/2020 12:00:00 AM;Newton     ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         
201313905;07/14/2020 12:00:00 AM;Newton     ;BURGLARY                                                
201318640;10/17/2020 12:00:00 AM;Newton     ;INTIMATE PARTNER - SIMPLE ASSAULT                       
201316224;08/29/2020 12:00:00 AM;Newton     ;INTIMATE PARTNER - SIMPLE ASSAULT                       
201318581;10/17/2020 12:00:00 AM;Newton     ;LETTERS, LEWD  -  TELEPHONE CALLS, LEWD                 
201310065;04/28/2020 12:00:00 AM;Newton     ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          
201307641;03/05/2020 12:00:00 AM;Newton     ;VEHICLE - STOLEN                                        
201320524;11/27/2020 12:00:00 AM;Newton     ;BATTERY - SIMPLE ASSAULT                                
201304825;01/15/2020 12:00:00 AM;Newton     ;VEHICLE - STOLEN                                        
201312048;06/09/2020 12:00:00 AM;Newton     ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 
201306017;02/06/2020 12:00:00 AM;Newton     ;BATTERY - SIMPLE ASSAULT                                
201314357;07/21/2020 12:00:00 AM;Newton     ;BATTERY - SIMPLE ASSAULT                                
201316211;08/30/2020 12:00:00 AM;Newton     ;VEHICLE - STOLEN                                        
201318660;10/19/2020 12:00:00 AM;Newton     ;ROBBERY                                                 
201308570;03/23/2020 12:00:00 AM;Newton     ;VEHICLE - STOLEN                                        
201314320;07/22/2020 12:00:00 AM;Newton     ;INTIMATE PARTNER - SIMPLE ASSAULT                       
201310061;04/27/2020 12:00:00 AM;Newton     ;ROBBERY                                                 
201305498;01/27/2020 12:00:00 AM;Newton     ;INTIMATE PARTNER - SIMPLE ASSAULT                       
201320366;11/23/2020 12:00:00 AM;Newton     ;VANDALISM - MISDEAMEANOR ($399 OR UNDER)                
201314547;07/27/2020 12:00:00 AM;Newton     ;THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD
201307831;03/09/2020 12:00:00 AM;Newton     ;BURGLARY                                                
201319724;11/09/2020 12:00:00 AM;Newton     ;BATTERY - SIMPLE ASSAULT                                
201307623;03/05/2020 12:00:00 AM;Newton     ;THEFT PLAIN - PETTY ($950 & UNDER)                      
201314468;07/25/2020 12:00:00 AM;Newton     ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          
201315440;08/13/2020 12:00:00 AM;Newton     ;VEHICLE - STOLEN                                        
201310690;05/11/2020 12:00:00 AM;Newton     ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 
201307162;02/23/2020 12:00:00 AM;Newton     ;BURGLARY FROM VEHICLE                                   
201307981;03/11/2020 12:00:00 AM;Newton     ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 
201309884;04/25/2020 12:00:00 AM;Newton     ;ROBBERY                                                 
201304422;01/09/2020 12:00:00 AM;Newton     ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          
201305189;01/22/2020 12:00:00 AM;Newton     ;INTIMATE PARTNER - SIMPLE ASSAULT                       
201312855;06/25/2020 12:00:00 AM;Newton     ;BURGLARY, ATTEMPTED                                     
201312575;06/20/2020 12:00:00 AM;Newton     ;ARSON                                                   
201312131;06/11/2020 12:00:00 AM;Newton     ;VEHICLE - STOLEN                                        
201321313;12/16/2020 12:00:00 AM;Newton     ;VEHICLE - STOLEN                                        
201320662;12/01/2020 12:00:00 AM;Newton     ;ROBBERY                                                 
201318896;10/22/2020 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       
201312631;06/21/2020 12:00:00 AM;Newton     ;INTIMATE PARTNER - SIMPLE ASSAULT                       
201314912;08/03/2020 12:00:00 AM;Newton     ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         
201318080;10/07/2020 12:00:00 AM;Newton     ;VEHICLE - STOLEN                                        
201300955;09/01/2020 12:00:00 AM;Newton     ;ROBBERY                                                 
201300890;08/01/2020 12:00:00 AM;Newton     ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 
201316265;08/31/2020 12:00:00 AM;Newton     ;BURGLARY FROM VEHICLE                                   
201316820;09/09/2020 12:00:00 AM;Newton     ;CRIMINAL THREATS - NO WEAPON DISPLAYED                  
201305363;01/24/2020 12:00:00 AM;Newton     ;INTIMATE PARTNER - SIMPLE ASSAULT                       
201319674;11/08/2020 12:00:00 AM;Newton     ;VANDALISM - MISDEAMEANOR ($399 OR UNDER)                
201321708;12/25/2020 12:00:00 AM;Newton     ;SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT        
201316163;08/29/2020 12:00:00 AM;Newton     ;ATTEMPTED ROBBERY                                       
201321629;12/23/2020 12:00:00 AM;Newton     ;VEHICLE - STOLEN                                        
201310438;05/05/2020 12:00:00 AM;Newton     ;BURGLARY FROM VEHICLE                                   
201314131;07/18/2020 12:00:00 AM;Newton     ;VEHICLE - STOLEN                                        
201312804;06/18/2020 12:00:00 AM;Newton     ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 
201309901;04/25/2020 12:00:00 AM;Newton     ;CHILD NEGLECT (SEE 300 W.I.C.)                          
201315570;08/16/2020 12:00:00 AM;Newton     ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         
201315624;08/17/2020 12:00:00 AM;Newton     ;VEHICLE - STOLEN                                        
201305787;02/01/2020 12:00:00 AM;Newton     ;BURGLARY FROM VEHICLE                                   
201312814;06/24/2020 12:00:00 AM;Newton     ;VEHICLE - STOLEN                                        
201320641;11/30/2020 12:00:00 AM;Newton     ;BATTERY - SIMPLE ASSAULT                                
201304405;01/08/2020 12:00:00 AM;Newton     ;BRANDISH WEAPON                                         
201318462;10/13/2020 12:00:00 AM;Newton     ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         
201316496;09/04/2020 12:00:00 AM;Newton     ;ARSON                                                   
201312817;06/24/2020 12:00:00 AM;Newton     ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          
201314843;08/02/2020 12:00:00 AM;Newton     ;VEHICLE - STOLEN                                        
201300951;08/31/2020 12:00:00 AM;Newton     ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 
201318335;10/12/2020 12:00:00 AM;Newton     ;BATTERY - SIMPLE ASSAULT                                
201320969;12/06/2020 12:00:00 AM;Newton     ;BATTERY - SIMPLE ASSAULT                                
201305831;02/01/2020 12:00:00 AM;Newton     ;VIOLATION OF RESTRAINING ORDER                          
201305418;01/25/2020 12:00:00 AM;Newton     ;INTIMATE PARTNER - SIMPLE ASSAULT                       
201312291;06/15/2020 12:00:00 AM;Newton     ;ROBBERY                                                 
201318288;10/11/2020 12:00:00 AM;Newton     ;BATTERY - SIMPLE ASSAULT                                
201315212;08/08/2020 12:00:00 AM;Newton     ;ARSON                                                   
201305529;01/28/2020 12:00:00 AM;Newton     ;BATTERY - SIMPLE ASSAULT                                
201313512;07/05/2020 12:00:00 AM;Newton     ;BURGLARY                                                
201316923;09/13/2020 12:00:00 AM;Newton     ;VANDALISM - MISDEAMEANOR ($399 OR UNDER)                
201306730;02/18/2020 12:00:00 AM;Newton     ;BRANDISH WEAPON                                         
201310149;04/29/2020 12:00:00 AM;Newton     ;ROBBERY                                                 
201320420;11/25/2020 12:00:00 AM;Newton     ;VEHICLE - STOLEN                                        
201312050;06/09/2020 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       
201313878;07/13/2020 12:00:00 AM;Newton     ;CRIMINAL THREATS - NO WEAPON DISPLAYED                  
201320886;12/06/2020 12:00:00 AM;Newton     ;VEHICLE - STOLEN                                        
201318426;10/14/2020 12:00:00 AM;Newton     ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          
201319629;11/08/2020 12:00:00 AM;Newton     ;VEHICLE - STOLEN                                        
201319758;11/04/2020 12:00:00 AM;Newton     ;THEFT PLAIN - PETTY ($950 & UNDER)                      
201316609;09/06/2020 12:00:00 AM;Newton     ;VANDALISM - MISDEAMEANOR ($399 OR UNDER)                
201310056;04/28/2020 12:00:00 AM;Newton     ;CRIMINAL THREATS - NO WEAPON DISPLAYED                  
201306528;02/14/2020 12:00:00 AM;Newton     ;ROBBERY                                                 
201309690;04/20/2020 12:00:00 AM;Newton     ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 
201313169;06/30/2020 12:00:00 AM;Newton     ;THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)     
201316957;09/14/2020 12:00:00 AM;Newton     ;DISCHARGE FIREARMS/SHOTS FIRED                          
201319785;11/11/2020 12:00:00 AM;Newton     ;INTIMATE PARTNER - AGGRAVATED ASSAULT                   
201305727;01/31/2020 12:00:00 AM;Newton     ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          
201311656;05/31/2020 12:00:00 AM;Newton     ;INTIMATE PARTNER - SIMPLE ASSAULT                       
201315539;08/15/2020 12:00:00 AM;Newton     ;BURGLARY FROM VEHICLE                                   
201305511;01/28/2020 12:00:00 AM;Newton     ;VEHICLE - STOLEN                                        
201305652;01/30/2020 12:00:00 AM;Newton     ;INTIMATE PARTNER - SIMPLE ASSAULT                       
201312787;06/24/2020 12:00:00 AM;Newton     ;VEHICLE - STOLEN                                        
201310607;05/10/2020 12:00:00 AM;Newton     ;VEHICLE - STOLEN                                        
201307082;02/25/2020 12:00:00 AM;Newton     ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 
201310671;05/10/2020 12:00:00 AM;Newton     ;BATTERY - SIMPLE ASSAULT                                
201320880;12/05/2020 12:00:00 AM;Newton     ;DISCHARGE FIREARMS/SHOTS FIRED                          
201312475;06/19/2020 12:00:00 AM;Newton     ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          
201300865;07/18/2020 12:00:00 AM;Newton     ;BRANDISH WEAPON                                         
201318074;10/07/2020 12:00:00 AM;Newton     ;INTIMATE PARTNER - AGGRAVATED ASSAULT                   
201313221;07/01/2020 12:00:00 AM;Newton     ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 
201310889;05/15/2020 12:00:00 AM;Newton     ;BRANDISH WEAPON                                         
201319413;11/01/2020 12:00:00 AM;Newton     ;BATTERY - SIMPLE ASSAULT                                
201320456;11/26/2020 12:00:00 AM;Newton     ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         
201306574;02/15/2020 12:00:00 AM;Newton     ;THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD
201310446;04/05/2020 12:00:00 AM;Newton     ;BATTERY - SIMPLE ASSAULT                                
211304017;12/31/2020 12:00:00 AM;Newton     ;BATTERY - SIMPLE ASSAULT                                
201320374;11/24/2020 12:00:00 AM;Newton     ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         
201308956;04/02/2020 12:00:00 AM;Newton     ;THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)     
201312221;06/12/2020 12:00:00 AM;Newton     ;PICKPOCKET                                              
201317551;09/26/2020 12:00:00 AM;Newton     ;INTIMATE PARTNER - SIMPLE ASSAULT                       
201305733;01/31/2020 12:00:00 AM;Newton     ;BATTERY - SIMPLE ASSAULT                                
201316273;08/31/2020 12:00:00 AM;Newton     ;THEFT OF IDENTITY                                       
201312233;06/13/2020 12:00:00 AM;Newton     ;BATTERY - SIMPLE ASSAULT                                
201305763;02/01/2020 12:00:00 AM;Newton     ;VEHICLE - STOLEN                                        
201312527;06/19/2020 12:00:00 AM;Newton     ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 
201308913;03/31/2020 12:00:00 AM;Newton     ;CRIMINAL THREATS - NO WEAPON DISPLAYED                  
201306218;02/08/2020 12:00:00 AM;Newton     ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          
201317336;09/21/2020 12:00:00 AM;Newton     ;BATTERY - SIMPLE ASSAULT                                
201320963;12/07/2020 12:00:00 AM;Newton     ;BATTERY - SIMPLE ASSAULT                                
201319804;11/12/2020 12:00:00 AM;Newton     ;DISCHARGE FIREARMS/SHOTS FIRED                          
201301192;12/28/2020 12:00:00 AM;Newton     ;THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD
201317595;09/26/2020 12:00:00 AM;Newton     ;BATTERY - SIMPLE ASSAULT                                
201318313;10/12/2020 12:00:00 AM;Newton     ;INTIMATE PARTNER - SIMPLE ASSAULT                       
201313116;06/29/2020 12:00:00 AM;Newton     ;VIOLATION OF COURT ORDER                                
201321151;12/12/2020 12:00:00 AM;Newton     ;BRANDISH WEAPON                                         
201319516;11/04/2020 12:00:00 AM;Newton     ;SHOTS FIRED AT MOVING VEHICLE, TRAIN OR AIRCRAFT        
201318803;10/21/2020 12:00:00 AM;Newton     ;VEHICLE - STOLEN                                        
201318726;10/19/2020 12:00:00 AM;Newton     ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         
201306286;02/10/2020 12:00:00 AM;Newton     ;DOCUMENT WORTHLESS ($200.01 & OVER)                     
201308041;03/13/2020 12:00:00 AM;Newton     ;INTIMATE PARTNER - AGGRAVATED ASSAULT                   
201309677;04/19/2020 12:00:00 AM;Newton     ;THEFT PLAIN - PETTY ($950 & UNDER)                      
201311246;05/23/2020 12:00:00 AM;Newton     ;VEHICLE - STOLEN                                        
201306380;02/12/2020 12:00:00 AM;Newton     ;VEHICLE - STOLEN                                        
201314564;07/27/2020 12:00:00 AM;Newton     ;BATTERY - SIMPLE ASSAULT                                
201321557;12/21/2020 12:00:00 AM;Newton     ;VEHICLE - STOLEN                                        
201318821;10/21/2020 12:00:00 AM;Newton     ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          
201314487;07/25/2020 12:00:00 AM;Newton     ;INTIMATE PARTNER - AGGRAVATED ASSAULT                   
201316813;09/11/2020 12:00:00 AM;Newton     ;VEHICLE - STOLEN                                        
201310744;05/12/2020 12:00:00 AM;Newton     ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          
201300769;06/01/2020 12:00:00 AM;Newton     ;BURGLARY                                                
201311833;06/05/2020 12:00:00 AM;Newton     ;BURGLARY                                                
201314055;07/14/2020 12:00:00 AM;Newton     ;BURGLARY                                                
201311512;05/27/2020 12:00:00 AM;Newton     ;INTIMATE PARTNER - SIMPLE ASSAULT                       
201309593;04/19/2020 12:00:00 AM;Newton     ;VEHICLE - STOLEN                                        
201317574;09/26/2020 12:00:00 AM;Newton     ;TRESPASSING                                             
201320507;11/27/2020 12:00:00 AM;Newton     ;CRIMINAL THREATS - NO WEAPON DISPLAYED                  
201312056;06/10/2020 12:00:00 AM;Newton     ;INTIMATE PARTNER - SIMPLE ASSAULT                       
201316932;09/13/2020 12:00:00 AM;Newton     ;FAILURE TO YIELD                                        
201313607;07/08/2020 12:00:00 AM;Newton     ;ATTEMPTED ROBBERY                                       
201314108;07/17/2020 12:00:00 AM;Newton     ;VEHICLE - STOLEN                                        
201321590;12/22/2020 12:00:00 AM;Newton     ;BURGLARY                                                
201309188;04/08/2020 12:00:00 AM;Newton     ;VEHICLE - STOLEN                                        
201321763;12/26/2020 12:00:00 AM;Newton     ;THEFT PLAIN - PETTY ($950 & UNDER)                      
201316171;08/29/2020 12:00:00 AM;Newton     ;VEHICLE - STOLEN                                        
201320139;11/19/2020 12:00:00 AM;Newton     ;VEHICLE - STOLEN                                        
201311264;05/23/2020 12:00:00 AM;Newton     ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 
201317891;10/02/2020 12:00:00 AM;Newton     ;THEFT PLAIN - PETTY ($950 & UNDER)                      
201314398;07/23/2020 12:00:00 AM;Newton     ;BRANDISH WEAPON                                         
201305305;01/24/2020 12:00:00 AM;Newton     ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          
201313900;07/13/2020 12:00:00 AM;Newton     ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 
201306036;02/04/2020 12:00:00 AM;Newton     ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         
201312649;06/22/2020 12:00:00 AM;Newton     ;VEHICLE - STOLEN                                        
201307360;02/29/2020 12:00:00 AM;Newton     ;THEFT PLAIN - PETTY ($950 & UNDER)                      
